NR,NAZWA
1,Wrocław
2,Jelenia Góra
3,Legnica
4,Wałbrzych
5,Bydgoszcz
6,Toruń
7,Włocławek
8,Lublin
9,Podlaska
10,Chełm
11,Puławy
12,Zamość
13,Zielona Góra
14,Wielkopolski
15,Łódź
16,Łódź
17,Piotrków Trybunalski
18,Sieradz
19,Skierniewice
20,Kraków
21,Kraków
22,Kraków
23,Chrzanów
24,Myślenice
25,Nowy Sącz
26,Nowy Targ
27,Tarnów
28,Warszawa
29,Warszawa
30,Ciechanów
31,Legionowo
32,Ostrołęka
33,Piaseczno
34,Płock
35,Radom
36,Siedlce
37,Opole
38,Opole
39,Rzeszów
40,Krosno
41,Przemyśl
42,Tarnobrzeg
43,Białystok
44,Łomża
45,Suwałki
46,Gdańsk
47,Gdańsk
48,Słupsk
49,Katowice
50,Bielsko-Biała
51,Bytom
52,Częstochowa
53,Gliwice
54,Sosnowiec
55,Kielce
56,Kielce
57,Olsztyn
58,Elbląg
59,Ełk
60,Poznań
61,Kalisz
62,Konin
63,Leszno
64,Piła
65,Szczecin
66,Koszalin
67,Stargard Szczeciński
68,Szczecinek
